CUT;CALICATA;CODINTERES;CALCIO;MAGNESIO;POTASIO;SODIO;SO4;FOSFORO;MANGANESO;HIERRO;COBRE;ZINC;BORO;MOS
1;C1;C1.1 (0-30);BAJO;BAJO;BAJO;ALTO;BAJO;BAJO;ALTO;ALTO;ALTO;MEDIO;MEDIO;27,35
2;C2;C2.1 (0-30);BAJO;BAJO;BAJO;MEDIO;BAJO;BAJO;ALTO;ALTO;ALTO;ALTO;MEDIO;34,29
3;C3;C3.1 (0-30);BAJO;BAJO;BAJO;MEDIO;BAJO;BAJO;ALTO;ALTO;ALTO;MEDIO;MEDIO;21,46
3;C4;C4.1 (0-30);BAJO;BAJO;BAJO;ALTO;MEDIO;BAJO;ALTO;ALTO;ALTO;MEDIO;MEDIO;29,72
4;C5;C5.1 (0-30);BAJO;BAJO;BAJO;MEDIO;BAJO;BAJO;ALTO;ALTO;ALTO;MEDIO;MEDIO;22,41
3;C6;C6.1 (0-30);BAJO;BAJO;BAJO;MEDIO;BAJO;BAJO;ALTO;ALTO;ALTO;ALTO;MEDIO;18,86
3;C7;C7.1 (0-30);BAJO;BAJO;BAJO;ALTO;BAJO;BAJO;ALTO;ALTO;ALTO;ALTO;MEDIO;27,73
3;C8;C8.1 (0-30);BAJO;BAJO;BAJO;ALTO;BAJO;BAJO;MEDIO;ALTO;ALTO;MEDIO;MEDIO;23,43
5;C9;C9.1 (0-30);BAJO;BAJO;BAJO;MEDIO;BAJO;BAJO;ALTO;ALTO;ALTO;MEDIO;MEDIO;22,98
6;ZE;ZONA_ESTERAL;BAJO;BAJO;BAJO;ALTO;MEDIO;BAJO;ALTO;ALTO;ALTO;MEDIO;MEDIO;
7;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;BOSQUE;
